date,newAdmissions,cumulativeAdmissions
23/03/2020,1273,4876
24/03/2020,1720,6596
25/03/2020,2085,8681
26/03/2020,1929,10610
27/03/2020,2227,12837
28/03/2020,2191,15028
29/03/2020,2490,17518
30/03/2020,3190,20708
31/03/2020,2832,23540
01/04/2020,3565,27105
02/04/2020,3284,30389
03/04/2020,2930,33319
04/04/2020,2921,36240
05/04/2020,2916,39156
06/04/2020,3046,42202
07/04/2020,3150,45352
08/04/2020,2967,48319
09/04/2020,2629,50948
10/04/2020,2463,53411
11/04/2020,2162,55573
12/04/2020,2066,57639
13/04/2020,2160,59799
14/04/2020,2088,61887
15/04/2020,1880,63767
16/04/2020,2012,65779
17/04/2020,1966,67745
18/04/2020,1629,69374
19/04/2020,1657,71031
20/04/2020,1737,72768
21/04/2020,1713,74481
22/04/2020,1527,76008
23/04/2020,1513,77521
24/04/2020,1525,79046
25/04/2020,1255,80301
26/04/2020,1355,81656
27/04/2020,1537,83193
28/04/2020,1517,84710
29/04/2020,1489,86199
30/04/2020,1443,87642
01/05/2020,1263,88905
02/05/2020,1180,90085
03/05/2020,1188,91273
04/05/2020,1250,92523
05/05/2020,1146,93669
06/05/2020,1206,94875
07/05/2020,1165,96040
08/05/2020,910,96950
09/05/2020,943,97893
10/05/2020,915,98808
11/05/2020,1029,99837
12/05/2020,983,100820
13/05/2020,966,101786
14/05/2020,909,102695
15/05/2020,870,103565
16/05/2020,813,104378
17/05/2020,792,105170
18/05/2020,848,106018
19/05/2020,880,106898
20/05/2020,850,107748
21/05/2020,842,108590
22/05/2020,739,109329
23/05/2020,643,109972
24/05/2020,587,110559
25/05/2020,602,111161
26/05/2020,697,111858
27/05/2020,712,112570
28/05/2020,702,113272
29/05/2020,615,113887
30/05/2020,568,114455
31/05/2020,528,114983
01/06/2020,605,115588
02/06/2020,668,116256
03/06/2020,634,116890
04/06/2020,565,117455
05/06/2020,475,117930
06/06/2020,406,118336
07/06/2020,407,118743
08/06/2020,412,119155
09/06/2020,492,119647
10/06/2020,512,120159
11/06/2020,446,120605
12/06/2020,392,120997
13/06/2020,385,121382
14/06/2020,364,121746
15/06/2020,440,122186
16/06/2020,455,122641
17/06/2020,432,123073
18/06/2020,403,123476
19/06/2020,336,123812
20/06/2020,257,124069
21/06/2020,288,124357
22/06/2020,395,124752
23/06/2020,362,125114
24/06/2020,368,125482
25/06/2020,324,125806
26/06/2020,339,126145
27/06/2020,287,126432
28/06/2020,208,126640
29/06/2020,220,126860
30/06/2020,295,127155
01/07/2020,270,127425
02/07/2020,217,127642
03/07/2020,214,127856
04/07/2020,202,128058
05/07/2020,196,128254
06/07/2020,204,128458
07/07/2020,214,128672
08/07/2020,208,128880
09/07/2020,213,129093
10/07/2020,176,129269
11/07/2020,177,129446
12/07/2020,114,129560
13/07/2020,189,129749
14/07/2020,185,129934
15/07/2020,166,130100
16/07/2020,167,130267
17/07/2020,144,130411
18/07/2020,105,130516
19/07/2020,126,130642
20/07/2020,130,130772
21/07/2020,126,130898
22/07/2020,158,131056
23/07/2020,200,131256
24/07/2020,158,131414
25/07/2020,120,131534
26/07/2020,109,131643
27/07/2020,130,131773
28/07/2020,119,131892
29/07/2020,132,132024
30/07/2020,132,132156
31/07/2020,113,132269
01/08/2020,128,132397
02/08/2020,93,132490
03/08/2020,110,132600
04/08/2020,126,132726
05/08/2020,140,132866
06/08/2020,100,132966
07/08/2020,117,133083
08/08/2020,141,133224
09/08/2020,106,133330
10/08/2020,86,133416
11/08/2020,114,133530
12/08/2020,101,133631
13/08/2020,130,133761
14/08/2020,103,133864
15/08/2020,99,133963
16/08/2020,80,134043
17/08/2020,96,134139
18/08/2020,130,134269
19/08/2020,115,134384
20/08/2020,98,134482
21/08/2020,109,134591
22/08/2020,72,134663
23/08/2020,74,134737
24/08/2020,91,134828
25/08/2020,122,134950
26/08/2020,132,135082
27/08/2020,152,135234
28/08/2020,137,135371
29/08/2020,110,135481
30/08/2020,77,135558
31/08/2020,91,135649
01/09/2020,134,135783
02/09/2020,145,135928
03/09/2020,145,136073
04/09/2020,153,136226
05/09/2020,130,136356
06/09/2020,138,136494
07/09/2020,142,136636
08/09/2020,184,136820
09/09/2020,202,137022
10/09/2020,217,137239
11/09/2020,231,137470
12/09/2020,216,137686
13/09/2020,225,137911
14/09/2020,255,138166
15/09/2020,271,138437
16/09/2020,285,138722
17/09/2020,264,138986
18/09/2020,263,139249
19/09/2020,260,139509
20/09/2020,289,139798
21/09/2020,369,140167
22/09/2020,350,140517
23/09/2020,421,140938
24/09/2020,422,141360
25/09/2020,384,141744
26/09/2020,351,142095
27/09/2020,340,142435
28/09/2020,444,142879
29/09/2020,440,143319
30/09/2020,452,143771
01/10/2020,523,144294
02/10/2020,528,144822
03/10/2020,532,145354
04/10/2020,629,145983
05/10/2020,625,146608
06/10/2020,722,147330
07/10/2020,683,148013
08/10/2020,711,148724
09/10/2020,703,149427
10/10/2020,720,150147
11/10/2020,823,150970
12/10/2020,885,151855
13/10/2020,1021,152876
14/10/2020,981,153857
15/10/2020,1044,154901
16/10/2020,910,155811
17/10/2020,1024,156835
18/10/2020,1086,157921
19/10/2020,1093,159014
20/10/2020,1184,160198
21/10/2020,1259,161457
22/10/2020,1275,162732
23/10/2020,1289,164021
24/10/2020,1256,165277
25/10/2020,1418,166695
26/10/2020,1532,168227
27/10/2020,1488,169715
28/10/2020,1485,171200
29/10/2020,1584,172784
30/10/2020,1373,174157
31/10/2020,1459,175616
01/11/2020,1487,177103
02/11/2020,1567,178670
03/11/2020,1514,180184
04/11/2020,1677,181861
05/11/2020,1586,183447
06/11/2020,1413,184860
07/11/2020,1555,186415
08/11/2020,1686,188101
09/11/2020,1762,189863
10/11/2020,1847,191710
11/11/2020,1971,193681
12/11/2020,1913,195594
13/11/2020,1648,197242
14/11/2020,1612,198854
15/11/2020,1670,200524
16/11/2020,1769,202293
17/11/2020,1715,204008
18/11/2020,1782,205790
19/11/2020,1684,207474
20/11/2020,1546,209020
21/11/2020,1460,210480
22/11/2020,1488,211968
23/11/2020,1587,213555
24/11/2020,1494,215049
25/11/2020,1613,216662
26/11/2020,1422,218084
27/11/2020,1281,219365
28/11/2020,1220,220585
29/11/2020,1382,221967
30/11/2020,1403,223370
01/12/2020,1489,224859
02/12/2020,1489,226348
03/12/2020,1503,227851
04/12/2020,1435,229286
05/12/2020,1381,230667
06/12/2020,1467,232134
07/12/2020,1657,233791
08/12/2020,1783,235574
09/12/2020,1754,237328
10/12/2020,1752,239080
11/12/2020,1687,240767
12/12/2020,1799,242566
13/12/2020,1756,244322
14/12/2020,1955,246277
15/12/2020,1957,248234
16/12/2020,2078,250312
17/12/2020,2144,252456
18/12/2020,1920,254376
19/12/2020,2044,256420
20/12/2020,2168,258588
21/12/2020,2368,260956
22/12/2020,2475,263431
23/12/2020,2275,265706
24/12/2020,2083,267789
25/12/2020,2182,269971
26/12/2020,2529,272500
27/12/2020,2872,275372
28/12/2020,3128,278500
29/12/2020,3249,281749
30/12/2020,3284,285033
31/12/2020,2917,287950
01/01/2021,3371,291321
02/01/2021,3438,294759
03/01/2021,3649,298408
04/01/2021,3935,302343
05/01/2021,4118,306461
06/01/2021,4389,310850
07/01/2021,4290,315140
08/01/2021,3994,319134
09/01/2021,4126,323260
10/01/2021,3929,327189
11/01/2021,4309,331498
12/01/2021,4574,336072
13/01/2021,4224,340296
14/01/2021,4102,344398
15/01/2021,3676,348074
16/01/2021,3944,352018
17/01/2021,3749,355767
18/01/2021,4064,359831
19/01/2021,4156,363987
20/01/2021,4051,368038
21/01/2021,3633,371671
22/01/2021,3387,375058
23/01/2021,3107,378165
24/01/2021,3113,381278
25/01/2021,2930,384208
26/01/2021,3137,387345
27/01/2021,3057,390402
28/01/2021,3044,393446
29/01/2021,2675,396121
30/01/2021,2464,398585
31/01/2021,2398,400983
01/02/2021,2602,403585
02/02/2021,2480,406065
03/02/2021,2355,408420
04/02/2021,2139,410559
05/02/2021,2004,412563
06/02/2021,1886,414449
07/02/2021,1844,416293
08/02/2021,1917,418210
09/02/2021,1750,419960
10/02/2021,1725,421685
11/02/2021,1671,423356
12/02/2021,1493,424849
13/02/2021,1419,426268
14/02/2021,1531,427799